0xb6ef4cf7,0xb6ef4cf7->TRUE
0xa34a2da2,0xa34a2da2->TRUE
0x59b26aa9,0x59b26aaa->TRUE
0x31576503,0x31576504->TRUE
0xd72fec61,0xd72fec61->TRUE
0x35fbf3ea,0x35fbf3ea->TRUE
0xefffffff,0xefffffff->TRUE
0x6085cfb1,0x6085cfb1->TRUE
0xc3290844,0xc3290845->TRUE
0xefffffff,0xefffffff->TRUE
0x0fbbac4c,0x0fbbac4c->TRUE
0x0c8eb722,0x0c8eb722->TRUE
0xff0d6eef,0xff0d6ef0->FALSE
0x110dc282,0x110dc282->TRUE
0x00000000,0x80000000->FALSE
0x49fbaaff,0x49fbab01->FALSE
0xc99e2865,0xc99e2866->TRUE
0x4fa5e087,0x4fa5e087->TRUE
0x029a6e7b,0x029a6e7c->TRUE
0x7a0da464,0x7a0da464->TRUE
0x85ef0793,0x85ef0793->TRUE
0xefffffff,0xefffffff->TRUE
0x452b9b77,0x452b9b77->TRUE
0x13c7acc4,0x13c7acc4->TRUE
0xef85f778,0xef85f778->TRUE
0x00000000,0x80000000->FALSE
0x83adf459,0x83adf45a->TRUE
0xefffffff,0xefffffff->TRUE
0x749dfadb,0x749dfadb->TRUE
0x00000000,0x80000000->FALSE
0xcc9a3423,0xcc9a3423->TRUE
0x3580e3df,0x3580e3e0->FALSE
0x00000000,0x00000000->TRUE
0x0b9711a5,0x0b9711a6->TRUE
0xe38cff4b,0xe38cff4b->TRUE
0xefffffff,0xefffffff->TRUE
0xc5cb1759,0xc5cb175a->TRUE
0x8200a7b2,0x8200a7b2->TRUE
0x9d65b511,0x9d65b511->TRUE
0xeec6019f,0xeec601a0->FALSE
0x7495c5c2,0x7495c5c2->TRUE
0x4c04499c,0x4c04499c->TRUE
0x6e545b5f,0x6e545b5f->TRUE
